series_id,year,period,period_name,value,month,date
CUUR0000SEFA,2000,M01,January,173.9,1,2000-01-01
CUUR0000SEFA,2000,M02,February,173.5,2,2000-02-01
CUUR0000SEFA,2000,M03,March,174.7,3,2000-03-01
CUUR0000SEFA,2000,M04,April,175.3,4,2000-04-01
CUUR0000SEFA,2000,M05,May,178.2,5,2000-05-01
CUUR0000SEFA,2000,M06,June,176.4,6,2000-06-01
CUUR0000SEFA,2000,M07,July,177.2,7,2000-07-01
CUUR0000SEFA,2000,M08,August,176.8,8,2000-08-01
CUUR0000SEFA,2000,M09,September,176.5,9,2000-09-01
CUUR0000SEFA,2000,M10,October,177.7,10,2000-10-01
CUUR0000SEFA,2000,M11,November,175.0,11,2000-11-01
CUUR0000SEFA,2000,M12,December,175.7,12,2000-12-01
CUUR0000SEFA,2001,M01,January,175.7,1,2001-01-01
CUUR0000SEFA,2001,M02,February,176.4,2,2001-02-01
CUUR0000SEFA,2001,M03,March,176.0,3,2001-03-01
CUUR0000SEFA,2001,M04,April,176.6,4,2001-04-01
CUUR0000SEFA,2001,M05,May,178.2,5,2001-05-01
CUUR0000SEFA,2001,M06,June,179.8,6,2001-06-01
CUUR0000SEFA,2001,M07,July,180.4,7,2001-07-01
CUUR0000SEFA,2001,M08,August,181.6,8,2001-08-01
CUUR0000SEFA,2001,M09,September,179.9,9,2001-09-01
CUUR0000SEFA,2001,M10,October,180.7,10,2001-10-01
CUUR0000SEFA,2001,M11,November,179.7,11,2001-11-01
CUUR0000SEFA,2001,M12,December,179.2,12,2001-12-01
CUUR0000SEFA,2002,M01,January,181.5,1,2002-01-01
CUUR0000SEFA,2002,M02,February,181.8,2,2002-02-01
CUUR0000SEFA,2002,M03,March,181.7,3,2002-03-01
CUUR0000SEFA,2002,M04,April,182.3,4,2002-04-01
CUUR0000SEFA,2002,M05,May,182.8,5,2002-05-01
CUUR0000SEFA,2002,M06,June,182.9,6,2002-06-01
CUUR0000SEFA,2002,M07,July,183.2,7,2002-07-01
CUUR0000SEFA,2002,M08,August,182.1,8,2002-08-01
CUUR0000SEFA,2002,M09,September,180.9,9,2002-09-01
CUUR0000SEFA,2002,M10,October,181.9,10,2002-10-01
CUUR0000SEFA,2002,M11,November,180.8,11,2002-11-01
CUUR0000SEFA,2002,M12,December,180.1,12,2002-12-01
CUUR0000SEFA,2003,M01,January,183.2,1,2003-01-01
CUUR0000SEFA,2003,M02,February,184.6,2,2003-02-01
CUUR0000SEFA,2003,M03,March,186.1,3,2003-03-01
CUUR0000SEFA,2003,M04,April,184.6,4,2003-04-01
CUUR0000SEFA,2003,M05,May,186.3,5,2003-05-01
CUUR0000SEFA,2003,M06,June,187.1,6,2003-06-01
CUUR0000SEFA,2003,M07,July,187.8,7,2003-07-01
CUUR0000SEFA,2003,M08,August,187.4,8,2003-08-01
CUUR0000SEFA,2003,M09,September,184.2,9,2003-09-01
CUUR0000SEFA,2003,M10,October,183.7,10,2003-10-01
CUUR0000SEFA,2003,M11,November,183.3,11,2003-11-01
CUUR0000SEFA,2003,M12,December,183.9,12,2003-12-01
CUUR0000SEFA,2004,M01,January,186.6,1,2004-01-01
CUUR0000SEFA,2004,M02,February,186.8,2,2004-02-01
CUUR0000SEFA,2004,M03,March,184.7,3,2004-03-01
CUUR0000SEFA,2004,M04,April,183.9,4,2004-04-01
CUUR0000SEFA,2004,M05,May,186.1,5,2004-05-01
CUUR0000SEFA,2004,M06,June,187.2,6,2004-06-01
CUUR0000SEFA,2004,M07,July,186.3,7,2004-07-01
CUUR0000SEFA,2004,M08,August,187.2,8,2004-08-01
CUUR0000SEFA,2004,M09,September,186.9,9,2004-09-01
CUUR0000SEFA,2004,M10,October,186.8,10,2004-10-01
CUUR0000SEFA,2004,M11,November,185.6,11,2004-11-01
CUUR0000SEFA,2004,M12,December,185.7,12,2004-12-01
CUUR0000SEFA,2005,M01,January,187.0,1,2005-01-01
CUUR0000SEFA,2005,M02,February,187.7,2,2005-02-01
CUUR0000SEFA,2005,M03,March,188.2,3,2005-03-01
CUUR0000SEFA,2005,M04,April,187.2,4,2005-04-01
CUUR0000SEFA,2005,M05,May,188.0,5,2005-05-01
CUUR0000SEFA,2005,M06,June,186.4,6,2005-06-01
CUUR0000SEFA,2005,M07,July,186.9,7,2005-07-01
CUUR0000SEFA,2005,M08,August,188.0,8,2005-08-01
CUUR0000SEFA,2005,M09,September,185.6,9,2005-09-01
CUUR0000SEFA,2005,M10,October,185.9,10,2005-10-01
CUUR0000SEFA,2005,M11,November,184.5,11,2005-11-01
CUUR0000SEFA,2005,M12,December,185.1,12,2005-12-01
CUUR0000SEFA,2006,M01,January,186.0,1,2006-01-01
CUUR0000SEFA,2006,M02,February,183.9,2,2006-02-01
CUUR0000SEFA,2006,M03,March,185.4,3,2006-03-01
CUUR0000SEFA,2006,M04,April,186.6,4,2006-04-01
CUUR0000SEFA,2006,M05,May,187.7,5,2006-05-01
CUUR0000SEFA,2006,M06,June,188.1,6,2006-06-01
CUUR0000SEFA,2006,M07,July,189.0,7,2006-07-01
CUUR0000SEFA,2006,M08,August,189.4,8,2006-08-01
CUUR0000SEFA,2006,M09,September,186.8,9,2006-09-01
CUUR0000SEFA,2006,M10,October,187.4,10,2006-10-01
CUUR0000SEFA,2006,M11,November,188.2,11,2006-11-01
CUUR0000SEFA,2006,M12,December,189.0,12,2006-12-01
CUUR0000SEFA,2007,M01,January,188.202,1,2007-01-01
CUUR0000SEFA,2007,M02,February,192.826,2,2007-02-01
CUUR0000SEFA,2007,M03,March,191.577,3,2007-03-01
CUUR0000SEFA,2007,M04,April,193.61,4,2007-04-01
CUUR0000SEFA,2007,M05,May,194.634,5,2007-05-01
CUUR0000SEFA,2007,M06,June,195.713,6,2007-06-01
CUUR0000SEFA,2007,M07,July,196.331,7,2007-07-01
CUUR0000SEFA,2007,M08,August,196.594,8,2007-08-01
CUUR0000SEFA,2007,M09,September,196.303,9,2007-09-01
CUUR0000SEFA,2007,M10,October,196.485,10,2007-10-01
CUUR0000SEFA,2007,M11,November,197.142,11,2007-11-01
CUUR0000SEFA,2007,M12,December,196.793,12,2007-12-01
CUUR0000SEFA,2008,M01,January,198.759,1,2008-01-01
CUUR0000SEFA,2008,M02,February,203.571,2,2008-02-01
CUUR0000SEFA,2008,M03,March,207.287,3,2008-03-01
CUUR0000SEFA,2008,M04,April,208.229,4,2008-04-01
CUUR0000SEFA,2008,M05,May,212.808,5,2008-05-01
CUUR0000SEFA,2008,M06,June,214.42,6,2008-06-01
CUUR0000SEFA,2008,M07,July,219.589,7,2008-07-01
CUUR0000SEFA,2008,M08,August,220.057,8,2008-08-01
CUUR0000SEFA,2008,M09,September,220.575,9,2008-09-01
CUUR0000SEFA,2008,M10,October,221.955,10,2008-10-01
CUUR0000SEFA,2008,M11,November,222.948,11,2008-11-01
CUUR0000SEFA,2008,M12,December,222.639,12,2008-12-01
CUUR0000SEFA,2009,M01,January,223.511,1,2009-01-01
CUUR0000SEFA,2009,M02,February,222.064,2,2009-02-01
CUUR0000SEFA,2009,M03,March,221.52,3,2009-03-01
CUUR0000SEFA,2009,M04,April,221.023,4,2009-04-01
CUUR0000SEFA,2009,M05,May,222.117,5,2009-05-01
CUUR0000SEFA,2009,M06,June,221.285,6,2009-06-01
CUUR0000SEFA,2009,M07,July,224.551,7,2009-07-01
CUUR0000SEFA,2009,M08,August,223.497,8,2009-08-01
CUUR0000SEFA,2009,M09,September,221.455,9,2009-09-01
CUUR0000SEFA,2009,M10,October,220.47,10,2009-10-01
CUUR0000SEFA,2009,M11,November,220.2,11,2009-11-01
CUUR0000SEFA,2009,M12,December,219.487,12,2009-12-01
