ï»¿Year,Month,Month_Number,Data_Item,Value,Units,Source
2023,July,7.0,Ground chuck retail price,5.253,Dollars per pound,BLS
2023,August,8.0,Ground chuck retail price,5.259,Dollars per pound,BLS
2023,September,9.0,Ground chuck retail price,5.185,Dollars per pound,BLS
2023,October,10.0,Ground chuck retail price,5.349,Dollars per pound,BLS
2023,November,11.0,Ground chuck retail price,5.201,Dollars per pound,BLS
2023,December,12.0,Ground chuck retail price,5.118,Dollars per pound,BLS
2024,January,1.0,Ground chuck retail price,5.093,Dollars per pound,BLS
2024,February,2.0,Ground chuck retail price,5.213,Dollars per pound,BLS
2024,March,3.0,Ground chuck retail price,5.421,Dollars per pound,BLS
2024,April,4.0,Ground chuck retail price,5.277,Dollars per pound,BLS
2024,May,5.0,Ground chuck retail price,5.331,Dollars per pound,BLS
2024,June,6.0,Ground chuck retail price,5.364,Dollars per pound,BLS
2024,July,7.0,Ground chuck retail price,5.47,Dollars per pound,BLS
2024,August,8.0,Ground chuck retail price,5.638,Dollars per pound,BLS
2024,September,9.0,Ground chuck retail price,5.576,Dollars per pound,BLS
2024,October,10.0,Ground chuck retail price,5.586,Dollars per pound,BLS
2024,November,11.0,Ground chuck retail price,5.605,Dollars per pound,BLS
2024,December,12.0,Ground chuck retail price,5.576,Dollars per pound,BLS
2025,January,1.0,Ground chuck retail price,5.495,Dollars per pound,BLS
2025,February,2.0,Ground chuck retail price,5.744,Dollars per pound,BLS
2025,March,3.0,Ground chuck retail price,5.854,Dollars per pound,BLS
2025,April,4.0,Ground chuck retail price,5.996,Dollars per pound,BLS
2025,May,5.0,Ground chuck retail price,6.018,Dollars per pound,BLS
2025,June,6.0,Ground chuck retail price,6.103,Dollars per pound,BLS
2025,July,7.0,Ground chuck retail price,6.338,Dollars per pound,BLS
2023,July,7.0,Ground beef retail price,5.102,Dollars per pound,BLS
2023,August,8.0,Ground beef retail price,5.076,Dollars per pound,BLS
2023,September,9.0,Ground beef retail price,5.109,Dollars per pound,BLS
2023,October,10.0,Ground beef retail price,5.226,Dollars per pound,BLS
2023,November,11.0,Ground beef retail price,5.353,Dollars per pound,BLS
2023,December,12.0,Ground beef retail price,5.21,Dollars per pound,BLS
2024,January,1.0,Ground beef retail price,5.03,Dollars per pound,BLS
2024,February,2.0,Ground beef retail price,5.132,Dollars per pound,BLS
2024,March,3.0,Ground beef retail price,5.132,Dollars per pound,BLS
2024,April,4.0,Ground beef retail price,5.236,Dollars per pound,BLS
2024,May,5.0,Ground beef retail price,5.148,Dollars per pound,BLS
2024,June,6.0,Ground beef retail price,5.472,Dollars per pound,BLS
2024,July,7.0,Ground beef retail price,5.497,Dollars per pound,BLS
2024,August,8.0,Ground beef retail price,5.577,Dollars per pound,BLS
2024,September,9.0,Ground beef retail price,5.67,Dollars per pound,BLS
2024,October,10.0,Ground beef retail price,5.588,Dollars per pound,BLS
2024,November,11.0,Ground beef retail price,5.628,Dollars per pound,BLS
2024,December,12.0,Ground beef retail price,5.605,Dollars per pound,BLS
2025,January,1.0,Ground beef retail price,5.545,Dollars per pound,BLS
2025,February,2.0,Ground beef retail price,5.625,Dollars per pound,BLS
2025,March,3.0,Ground beef retail price,5.79,Dollars per pound,BLS
2025,April,4.0,Ground beef retail price,5.801,Dollars per pound,BLS
2025,May,5.0,Ground beef retail price,5.981,Dollars per pound,BLS
2025,June,6.0,Ground beef retail price,6.12,Dollars per pound,BLS
2025,July,7.0,Ground beef retail price,6.254,Dollars per pound,BLS
2023,July,7.0,Lean & extra lean ground beef retail price,6.851,Dollars per pound,BLS
2023,August,8.0,Lean & extra lean ground beef retail price,6.947,Dollars per pound,BLS
2023,September,9.0,Lean & extra lean ground beef retail price,6.884,Dollars per pound,BLS
2023,October,10.0,Lean & extra lean ground beef retail price,6.991,Dollars per pound,BLS
2023,November,11.0,Lean & extra lean ground beef retail price,6.731,Dollars per pound,BLS
2023,December,12.0,Lean & extra lean ground beef retail price,6.674,Dollars per pound,BLS
2024,January,1.0,Lean & extra lean ground beef retail price,6.778,Dollars per pound,BLS
2024,February,2.0,Lean & extra lean ground beef retail price,6.651,Dollars per pound,BLS
2024,March,3.0,Lean & extra lean ground beef retail price,6.734,Dollars per pound,BLS
2024,April,4.0,Lean & extra lean ground beef retail price,6.809,Dollars per pound,BLS
2024,May,5.0,Lean & extra lean ground beef retail price,6.847,Dollars per pound,BLS
2024,June,6.0,Lean & extra lean ground beef retail price,6.893,Dollars per pound,BLS
2024,July,7.0,Lean & extra lean ground beef retail price,7.169,Dollars per pound,BLS
2024,August,8.0,Lean & extra lean ground beef retail price,6.918,Dollars per pound,BLS
2024,September,9.0,Lean & extra lean ground beef retail price,7.223,Dollars per pound,BLS
2024,October,10.0,Lean & extra lean ground beef retail price,7.22,Dollars per pound,BLS
2024,November,11.0,Lean & extra lean ground beef retail price,6.977,Dollars per pound,BLS
2024,December,12.0,Lean & extra lean ground beef retail price,7.124,Dollars per pound,BLS
2025,January,1.0,Lean & extra lean ground beef retail price,7.11,Dollars per pound,BLS
2025,February,2.0,Lean & extra lean ground beef retail price,7.244,Dollars per pound,BLS
2025,March,3.0,Lean & extra lean ground beef retail price,7.476,Dollars per pound,BLS
2025,April,4.0,Lean & extra lean ground beef retail price,7.551,Dollars per pound,BLS
2025,May,5.0,Lean & extra lean ground beef retail price,7.688,Dollars per pound,BLS
2025,June,6.0,Lean & extra lean ground beef retail price,7.672,Dollars per pound,BLS
2025,July,7.0,Lean & extra lean ground beef retail price,8.035,Dollars per pound,BLS
2023,July,7.0,All uncooked ground beef retail price,5.537,Dollars per pound,BLS
2023,August,8.0,All uncooked ground beef retail price,5.554,Dollars per pound,BLS
2023,September,9.0,All uncooked ground beef retail price,5.57,Dollars per pound,BLS
2023,October,10.0,All uncooked ground beef retail price,5.666,Dollars per pound,BLS
2023,November,11.0,All uncooked ground beef retail price,5.643,Dollars per pound,BLS
2023,December,12.0,All uncooked ground beef retail price,5.566,Dollars per pound,BLS
2024,January,1.0,All uncooked ground beef retail price,5.475,Dollars per pound,BLS
2024,February,2.0,All uncooked ground beef retail price,5.479,Dollars per pound,BLS
2024,March,3.0,All uncooked ground beef retail price,5.522,Dollars per pound,BLS
2024,April,4.0,All uncooked ground beef retail price,5.561,Dollars per pound,BLS
2024,May,5.0,All uncooked ground beef retail price,5.603,Dollars per pound,BLS
2024,June,6.0,All uncooked ground beef retail price,5.712,Dollars per pound,BLS
2024,July,7.0,All uncooked ground beef retail price,5.799,Dollars per pound,BLS
2024,August,8.0,All uncooked ground beef retail price,5.867,Dollars per pound,BLS
2024,September,9.0,All uncooked ground beef retail price,5.917,Dollars per pound,BLS
2024,October,10.0,All uncooked ground beef retail price,5.887,Dollars per pound,BLS
2024,November,11.0,All uncooked ground beef retail price,5.874,Dollars per pound,BLS
2024,December,12.0,All uncooked ground beef retail price,5.863,Dollars per pound,BLS
2025,January,1.0,All uncooked ground beef retail price,5.82,Dollars per pound,BLS
2025,February,2.0,All uncooked ground beef retail price,5.961,Dollars per pound,BLS
2025,March,3.0,All uncooked ground beef retail price,6.137,Dollars per pound,BLS
2025,April,4.0,All uncooked ground beef retail price,6.142,Dollars per pound,BLS
2025,May,5.0,All uncooked ground beef retail price,6.245,Dollars per pound,BLS
2025,June,6.0,All uncooked ground beef retail price,6.342,Dollars per pound,BLS
2025,July,7.0,All uncooked ground beef retail price,6.504,Dollars per pound,BLS
2023,July,7.0,"Chuck roast, USDA Choice, boneless retail price",7.299,Dollars per pound,BLS
2023,August,8.0,"Chuck roast, USDA Choice, boneless retail price",7.298,Dollars per pound,BLS
2023,September,9.0,"Chuck roast, USDA Choice, boneless retail price",7.177,Dollars per pound,BLS
2023,October,10.0,"Chuck roast, USDA Choice, boneless retail price",7.305,Dollars per pound,BLS
2023,November,11.0,"Chuck roast, USDA Choice, boneless retail price",7.612,Dollars per pound,BLS
2023,December,12.0,"Chuck roast, USDA Choice, boneless retail price",7.378,Dollars per pound,BLS
2024,January,1.0,"Chuck roast, USDA Choice, boneless retail price",7.255,Dollars per pound,BLS
2024,February,2.0,"Chuck roast, USDA Choice, boneless retail price",7.513,Dollars per pound,BLS
2024,March,3.0,"Chuck roast, USDA Choice, boneless retail price",7.362,Dollars per pound,BLS
2024,April,4.0,"Chuck roast, USDA Choice, boneless retail price",7.516,Dollars per pound,BLS
2024,May,5.0,"Chuck roast, USDA Choice, boneless retail price",7.531,Dollars per pound,BLS
2024,June,6.0,"Chuck roast, USDA Choice, boneless retail price",7.649,Dollars per pound,BLS
2024,July,7.0,"Chuck roast, USDA Choice, boneless retail price",7.781,Dollars per pound,BLS
2024,August,8.0,"Chuck roast, USDA Choice, boneless retail price",7.692,Dollars per pound,BLS
2024,September,9.0,"Chuck roast, USDA Choice, boneless retail price",7.596,Dollars per pound,BLS
2024,October,10.0,"Chuck roast, USDA Choice, boneless retail price",7.301,Dollars per pound,BLS
2024,November,11.0,"Chuck roast, USDA Choice, boneless retail price",7.578,Dollars per pound,BLS
2024,December,12.0,"Chuck roast, USDA Choice, boneless retail price",7.769,Dollars per pound,BLS
2025,January,1.0,"Chuck roast, USDA Choice, boneless retail price",7.694,Dollars per pound,BLS
2025,February,2.0,"Chuck roast, USDA Choice, boneless retail price",8.104,Dollars per pound,BLS
2025,March,3.0,"Chuck roast, USDA Choice, boneless retail price",8.097,Dollars per pound,BLS
2025,April,4.0,"Chuck roast, USDA Choice, boneless retail price",7.98,Dollars per pound,BLS
2025,May,5.0,"Chuck roast, USDA Choice, boneless retail price",7.875,Dollars per pound,BLS
2025,June,6.0,"Chuck roast, USDA Choice, boneless retail price",8.197,Dollars per pound,BLS
2025,July,7.0,"Chuck roast, USDA Choice, boneless retail price",8.439,Dollars per pound,BLS
2023,July,7.0,"Round roast, USDA Choice boneless retail price",6.625,Dollars per pound,BLS
2023,August,8.0,"Round roast, USDA Choice boneless retail price",6.656,Dollars per pound,BLS
2023,September,9.0,"Round roast, USDA Choice boneless retail price",6.613,Dollars per pound,BLS
2023,October,10.0,"Round roast, USDA Choice boneless retail price",6.795,Dollars per pound,BLS
2023,November,11.0,"Round roast, USDA Choice boneless retail price",6.846,Dollars per pound,BLS
2023,December,12.0,"Round roast, USDA Choice boneless retail price",6.885,Dollars per pound,BLS
2024,January,1.0,"Round roast, USDA Choice boneless retail price",6.737,Dollars per pound,BLS
2024,February,2.0,"Round roast, USDA Choice boneless retail price",6.71,Dollars per pound,BLS
2024,March,3.0,"Round roast, USDA Choice boneless retail price",6.974,Dollars per pound,BLS
2024,April,4.0,"Round roast, USDA Choice boneless retail price",6.858,Dollars per pound,BLS
2024,May,5.0,"Round roast, USDA Choice boneless retail price",6.987,Dollars per pound,BLS
2024,June,6.0,"Round roast, USDA Choice boneless retail price",6.879,Dollars per pound,BLS
2024,July,7.0,"Round roast, USDA Choice boneless retail price",7.121,Dollars per pound,BLS
2024,August,8.0,"Round roast, USDA Choice boneless retail price",7.161,Dollars per pound,BLS
2024,September,9.0,"Round roast, USDA Choice boneless retail price",7.244,Dollars per pound,BLS
2024,October,10.0,"Round roast, USDA Choice boneless retail price",7.008,Dollars per pound,BLS
2024,November,11.0,"Round roast, USDA Choice boneless retail price",7.141,Dollars per pound,BLS
2024,December,12.0,"Round roast, USDA Choice boneless retail price",7.486,Dollars per pound,BLS
2025,January,1.0,"Round roast, USDA Choice boneless retail price",7.27,Dollars per pound,BLS
2025,February,2.0,"Round roast, USDA Choice boneless retail price",7.49,Dollars per pound,BLS
2025,March,3.0,"Round roast, USDA Choice boneless retail price",7.557,Dollars per pound,BLS
2025,April,4.0,"Round roast, USDA Choice boneless retail price",7.616,Dollars per pound,BLS
2025,May,5.0,"Round roast, USDA Choice boneless retail price",7.57,Dollars per pound,BLS
2025,June,6.0,"Round roast, USDA Choice boneless retail price",7.762,Dollars per pound,BLS
2025,July,7.0,"Round roast, USDA Choice boneless retail price",7.909,Dollars per pound,BLS
2023,July,7.0,"Round steak, USDA Choice retail price",7.664,Dollars per pound,BLS
2023,August,8.0,"Round steak, USDA Choice retail price",7.646,Dollars per pound,BLS
2023,September,9.0,"Round steak, USDA Choice retail price",7.774,Dollars per pound,BLS
2023,October,10.0,"Round steak, USDA Choice retail price",7.987,Dollars per pound,BLS
2023,November,11.0,"Round steak, USDA Choice retail price",7.862,Dollars per pound,BLS
2023,December,12.0,"Round steak, USDA Choice retail price",7.994,Dollars per pound,BLS
2024,January,1.0,"Round steak, USDA Choice retail price",8.106,Dollars per pound,BLS
2024,February,2.0,"Round steak, USDA Choice retail price",7.883,Dollars per pound,BLS
2024,March,3.0,"Round steak, USDA Choice retail price",8.031,Dollars per pound,BLS
2024,April,4.0,"Round steak, USDA Choice retail price",8.11,Dollars per pound,BLS
2024,May,5.0,"Round steak, USDA Choice retail price",8.247,Dollars per pound,BLS
2024,June,6.0,"Round steak, USDA Choice retail price",7.927,Dollars per pound,BLS
2024,July,7.0,"Round steak, USDA Choice retail price",8.059,Dollars per pound,BLS
2024,August,8.0,"Round steak, USDA Choice retail price",8.226,Dollars per pound,BLS
2024,September,9.0,"Round steak, USDA Choice retail price",8.148,Dollars per pound,BLS
2024,October,10.0,"Round steak, USDA Choice retail price",8.154,Dollars per pound,BLS
2024,November,11.0,"Round steak, USDA Choice retail price",8.159,Dollars per pound,BLS
2024,December,12.0,"Round steak, USDA Choice retail price",8.136,Dollars per pound,BLS
2025,January,1.0,"Round steak, USDA Choice retail price",8.28,Dollars per pound,BLS
2025,February,2.0,"Round steak, USDA Choice retail price",8.485,Dollars per pound,BLS
2025,March,3.0,"Round steak, USDA Choice retail price",8.554,Dollars per pound,BLS
2025,April,4.0,"Round steak, USDA Choice retail price",8.627,Dollars per pound,BLS
2025,May,5.0,"Round steak, USDA Choice retail price",8.401,Dollars per pound,BLS
2025,June,6.0,"Round steak, USDA Choice retail price",8.457,Dollars per pound,BLS
2025,July,7.0,"Round steak, USDA Choice retail price",8.69,Dollars per pound,BLS
2023,July,7.0,All uncooked beef roasts retail price,7.203,Dollars per pound,BLS
2023,August,8.0,All uncooked beef roasts retail price,7.285,Dollars per pound,BLS
2023,September,9.0,All uncooked beef roasts retail price,7.251,Dollars per pound,BLS
2023,October,10.0,All uncooked beef roasts retail price,7.321,Dollars per pound,BLS
2023,November,11.0,All uncooked beef roasts retail price,7.482,Dollars per pound,BLS
2023,December,12.0,All uncooked beef roasts retail price,7.348,Dollars per pound,BLS
2024,January,1.0,All uncooked beef roasts retail price,7.268,Dollars per pound,BLS
2024,February,2.0,All uncooked beef roasts retail price,7.351,Dollars per pound,BLS
2024,March,3.0,All uncooked beef roasts retail price,7.395,Dollars per pound,BLS
2024,April,4.0,All uncooked beef roasts retail price,7.47,Dollars per pound,BLS
2024,May,5.0,All uncooked beef roasts retail price,7.47,Dollars per pound,BLS
2024,June,6.0,All uncooked beef roasts retail price,7.472,Dollars per pound,BLS
2024,July,7.0,All uncooked beef roasts retail price,7.638,Dollars per pound,BLS
2024,August,8.0,All uncooked beef roasts retail price,7.63,Dollars per pound,BLS
2024,September,9.0,All uncooked beef roasts retail price,7.582,Dollars per pound,BLS
2024,October,10.0,All uncooked beef roasts retail price,7.368,Dollars per pound,BLS
2024,November,11.0,All uncooked beef roasts retail price,7.598,Dollars per pound,BLS
2024,December,12.0,All uncooked beef roasts retail price,7.719,Dollars per pound,BLS
2025,January,1.0,All uncooked beef roasts retail price,7.718,Dollars per pound,BLS
2025,February,2.0,All uncooked beef roasts retail price,7.995,Dollars per pound,BLS
2025,March,3.0,All uncooked beef roasts retail price,7.992,Dollars per pound,BLS
2025,April,4.0,All uncooked beef roasts retail price,7.995,Dollars per pound,BLS
2025,May,5.0,All uncooked beef roasts retail price,7.939,Dollars per pound,BLS
2025,June,6.0,All uncooked beef roasts retail price,8.203,Dollars per pound,BLS
2025,July,7.0,All uncooked beef roasts retail price,8.397,Dollars per pound,BLS
2023,July,7.0,"Sirloin steak, USDA Choice boneless retail price",11.507,Dollars per pound,BLS
2023,August,8.0,"Sirloin steak, USDA Choice boneless retail price",11.432,Dollars per pound,BLS
2023,September,9.0,"Sirloin steak, USDA Choice boneless retail price",11.626,Dollars per pound,BLS
2023,October,10.0,"Sirloin steak, USDA Choice boneless retail price",11.697,Dollars per pound,BLS
2023,November,11.0,"Sirloin steak, USDA Choice boneless retail price",11.533,Dollars per pound,BLS
2023,December,12.0,"Sirloin steak, USDA Choice boneless retail price",11.691,Dollars per pound,BLS
2024,January,1.0,"Sirloin steak, USDA Choice boneless retail price",11.637,Dollars per pound,BLS
2024,February,2.0,"Sirloin steak, USDA Choice boneless retail price",11.716,Dollars per pound,BLS
2024,March,3.0,"Sirloin steak, USDA Choice boneless retail price",11.537,Dollars per pound,BLS
2024,April,4.0,"Sirloin steak, USDA Choice boneless retail price",11.662,Dollars per pound,BLS
2024,May,5.0,"Sirloin steak, USDA Choice boneless retail price",11.558,Dollars per pound,BLS
2024,June,6.0,"Sirloin steak, USDA Choice boneless retail price",11.465,Dollars per pound,BLS
2024,July,7.0,"Sirloin steak, USDA Choice boneless retail price",11.726,Dollars per pound,BLS
2024,August,8.0,"Sirloin steak, USDA Choice boneless retail price",11.54,Dollars per pound,BLS
2024,September,9.0,"Sirloin steak, USDA Choice boneless retail price",11.787,Dollars per pound,BLS
2024,October,10.0,"Sirloin steak, USDA Choice boneless retail price",11.497,Dollars per pound,BLS
2024,November,11.0,"Sirloin steak, USDA Choice boneless retail price",12.014,Dollars per pound,BLS
2024,December,12.0,"Sirloin steak, USDA Choice boneless retail price",11.666,Dollars per pound,BLS
2025,January,1.0,"Sirloin steak, USDA Choice boneless retail price",11.965,Dollars per pound,BLS
2025,February,2.0,"Sirloin steak, USDA Choice boneless retail price",11.899,Dollars per pound,BLS
2025,March,3.0,"Sirloin steak, USDA Choice boneless retail price",11.924,Dollars per pound,BLS
2025,April,4.0,"Sirloin steak, USDA Choice boneless retail price",12.326,Dollars per pound,BLS
2025,May,5.0,"Sirloin steak, USDA Choice boneless retail price",12.207,Dollars per pound,BLS
2025,June,6.0,"Sirloin steak, USDA Choice boneless retail price",12.923,Dollars per pound,BLS
2025,July,7.0,"Sirloin steak, USDA Choice boneless retail price",13.554,Dollars per pound,BLS
2023,July,7.0,"Beef for stew, boneless retail price",7.21,Dollars per pound,BLS
2023,August,8.0,"Beef for stew, boneless retail price",7.157,Dollars per pound,BLS
2023,September,9.0,"Beef for stew, boneless retail price",7.23,Dollars per pound,BLS
2023,October,10.0,"Beef for stew, boneless retail price",7.311,Dollars per pound,BLS
2023,November,11.0,"Beef for stew, boneless retail price",7.16,Dollars per pound,BLS
2023,December,12.0,"Beef for stew, boneless retail price",7.025,Dollars per pound,BLS
2024,January,1.0,"Beef for stew, boneless retail price",7.001,Dollars per pound,BLS
2024,February,2.0,"Beef for stew, boneless retail price",6.839,Dollars per pound,BLS
2024,March,3.0,"Beef for stew, boneless retail price",6.991,Dollars per pound,BLS
2024,April,4.0,"Beef for stew, boneless retail price",7.197,Dollars per pound,BLS
2024,May,5.0,"Beef for stew, boneless retail price",7.229,Dollars per pound,BLS
2024,June,6.0,"Beef for stew, boneless retail price",7.239,Dollars per pound,BLS
2024,July,7.0,"Beef for stew, boneless retail price",7.145,Dollars per pound,BLS
2024,August,8.0,"Beef for stew, boneless retail price",7.298,Dollars per pound,BLS
2024,September,9.0,"Beef for stew, boneless retail price",7.217,Dollars per pound,BLS
2024,October,10.0,"Beef for stew, boneless retail price",7.177,Dollars per pound,BLS
2024,November,11.0,"Beef for stew, boneless retail price",7.432,Dollars per pound,BLS
2024,December,12.0,"Beef for stew, boneless retail price",7.393,Dollars per pound,BLS
2025,January,1.0,"Beef for stew, boneless retail price",7.318,Dollars per pound,BLS
2025,February,2.0,"Beef for stew, boneless retail price",7.677,Dollars per pound,BLS
2025,March,3.0,"Beef for stew, boneless retail price",7.601,Dollars per pound,BLS
2025,April,4.0,"Beef for stew, boneless retail price",7.733,Dollars per pound,BLS
2025,May,5.0,"Beef for stew, boneless retail price",7.729,Dollars per pound,BLS
2025,June,6.0,"Beef for stew, boneless retail price",8.016,Dollars per pound,BLS
2025,July,7.0,"Beef for stew, boneless retail price",8.188,Dollars per pound,BLS
2023,July,7.0,All uncooked beef steaks retail price,10.633,Dollars per pound,BLS
2023,August,8.0,All uncooked beef steaks retail price,10.75,Dollars per pound,BLS
2023,September,9.0,All uncooked beef steaks retail price,10.771,Dollars per pound,BLS
2023,October,10.0,All uncooked beef steaks retail price,10.834,Dollars per pound,BLS
2023,November,11.0,All uncooked beef steaks retail price,10.482,Dollars per pound,BLS
2023,December,12.0,All uncooked beef steaks retail price,10.646,Dollars per pound,BLS
2024,January,1.0,All uncooked beef steaks retail price,10.686,Dollars per pound,BLS
2024,February,2.0,All uncooked beef steaks retail price,10.53,Dollars per pound,BLS
2024,March,3.0,All uncooked beef steaks retail price,10.594,Dollars per pound,BLS
2024,April,4.0,All uncooked beef steaks retail price,10.745,Dollars per pound,BLS
2024,May,5.0,All uncooked beef steaks retail price,10.734,Dollars per pound,BLS
2024,June,6.0,All uncooked beef steaks retail price,10.635,Dollars per pound,BLS
2024,July,7.0,All uncooked beef steaks retail price,10.856,Dollars per pound,BLS
2024,August,8.0,All uncooked beef steaks retail price,10.875,Dollars per pound,BLS
